date,city,variant,rna,rna_norm,flow,proportion,rna_norm_smooth,new_cases,cases_smooth
2021-04-14,Zürich (ZH),B.1.1.7 (Alpha),4001957596568.494,8.171889201877297,144845.2708166669,0.9303489521843216,8.341696056818074,15.364762002123143,23.20674743347122
2021-04-15,Zürich (ZH),B.1.1.7 (Alpha),2836750153526.0034,5.792567109631581,144637.05726666684,0.9099041634071434,8.023660167709563,27.748601269639067,22.70887516151845
2021-04-16,Zürich (ZH),B.1.1.7 (Alpha),4386721777913.6123,8.957567256412254,143033.18181666688,0.9179114767632656,7.728666469880762,20.57860842675159,22.150399019773722
2021-04-17,Zürich (ZH),B.1.1.7 (Alpha),2403511320161.033,4.907905126394967,135347.94873333324,0.927110013852044,7.616805365167762,19.132374970276008,21.61184309083244
2021-04-18,Zürich (ZH),B.1.1.7 (Alpha),2943601066951.363,6.010753785667362,131885.10760000008,0.9371641818520952,7.799575267115026,11.937236343949044,21.12358591796332
2021-04-19,Zürich (ZH),B.1.1.7 (Alpha),1774930091975.5847,3.624359254865511,138896.89349999983,0.9468419755040768,8.100826329664013,25.55167162208068,20.716006044435076
2021-04-20,Zürich (ZH),B.1.1.7 (Alpha),2235153743457.818,4.564123507045746,138897.92401666642,0.9546978153717728,8.211020799069653,31.015364906581738,20.33472057894689
2021-04-21,Zürich (ZH),B.1.1.7 (Alpha),3073586883918.0684,6.276181309181912,136640.71393333332,0.9600561493697036,8.16130448519438,13.958406220806795,19.906358717501917
2021-04-22,Zürich (ZH),B.1.1.7 (Alpha),3227780453635.156,6.591040409250944,136099.23223333326,0.9630760975185568,8.28655288739093,20.431904182590234,19.432817134324875
2021-04-23,Zürich (ZH),B.1.1.7 (Alpha),3070660299365.129,6.270205302657742,136764.69846666683,0.9642978999185212,8.402630714086484,18.57200977707006,18.915992503640464
2021-04-24,Zürich (ZH),B.1.1.7 (Alpha),2796614604214.6772,5.710611403176852,129685.37458333332,0.9642539891211616,8.260811431017782,17.626080730360936,18.33095441372722
2021-04-25,Zürich (ZH),B.1.1.7 (Alpha),20060660441544.285,40.96332619449758,125247.21409999984,0.9634146969550093,8.099083673501886,13.992500675159237,17.657933235130855
2021-04-26,Zürich (ZH),B.1.1.7 (Alpha),2434642192485.516,4.9714735259231375,133614.39913333318,0.9621467768667368,8.07844284440813,27.094065420382165,16.906566815476836
2021-04-27,Zürich (ZH),B.1.1.7 (Alpha),2611254280338.5986,5.332110633843805,133542.62334999992,0.9608820816922932,8.024133745438787,16.521609702760088,16.086493002390647
2021-04-28,Zürich (ZH),B.1.1.7 (Alpha),1783633654700.0054,3.642131694610135,135819.82616666667,0.960210184554285,7.670519110160321,12.109968053078555,15.31639375757232
2021-04-29,Zürich (ZH),B.1.1.7 (Alpha),1527161921025.4478,3.1184233492745985,235991.7408500007,0.9607877722196893,7.190121744518082,14.614301878980893,14.662901024609786
2021-04-30,Zürich (ZH),B.1.1.7 (Alpha),2465039245694.3125,5.033543486659065,209285.52451666663,0.9629588701778627,6.784492074419373,10.782798169851379,14.057577623960375
2021-05-01,Zürich (ZH),B.1.1.7 (Alpha),3000788734875.479,6.127529457251275,331194.6007166663,0.966452311304181,6.2315342633735895,13.431855585987261,13.431986376081424
2021-05-02,Zürich (ZH),B.1.1.7 (Alpha),2308275448656.6953,4.713436051898777,439780.937383334,0.9703620960525629,5.502541030201533,9.648317129511677,12.771425227279055
2021-05-03,Zürich (ZH),B.1.1.7 (Alpha),2193524834708.996,4.479118400999113,221307.45259999944,0.9735527801929256,4.901558630245942,13.417877991507432,12.143773690844736
2021-05-04,Zürich (ZH),B.1.1.7 (Alpha),1963843660098.2114,4.010115652872608,161471.75015000012,0.9750267964273532,4.454404485255416,8.978990755838641,11.604466937713799
2021-05-05,Zürich (ZH),B.1.1.7 (Alpha),1791511396013.7769,3.6582178293638843,188677.9572666666,0.9741939393263568,4.053116081063839,13.970509664543526,11.208940138821575
2021-05-06,Zürich (ZH),B.1.1.7 (Alpha),1509246344452.9246,3.0818402263389775,254181.9302999999,0.9711357409757922,3.774057982091428,12.605513278131635,10.898691610172202
2021-05-07,Zürich (ZH),B.1.1.7 (Alpha),2182890158736.4495,4.457402680217855,324791.77566666726,0.9664878161409584,3.5977610122497374,11.1295174522293,10.575798808886505
2021-05-08,Zürich (ZH),B.1.1.7 (Alpha),2343133655585.711,4.784615567904714,163271.41815,0.9609005785204258,3.4361332242974,7.769492471337579,10.236565617574831
2021-05-09,Zürich (ZH),B.1.1.7 (Alpha),1077543586426.3643,2.200314867408924,152494.60484999986,0.9546743395002664,3.2626050259252533,6.5839823524416135,9.877295918847542
2021-05-10,Zürich (ZH),B.1.1.7 (Alpha),764467737123.2953,1.5610224484982265,155927.90218333324,0.9479170026339288,3.090210802141349,11.950777959660298,9.571850819364741
2021-05-11,Zürich (ZH),B.1.1.7 (Alpha),1481098182322.17,3.0243624403758673,214488.1887,0.9409065917536537,2.9443779056821713,11.721668050955413,9.354189036901174
2021-05-12,Zürich (ZH),B.1.1.7 (Alpha),1032739225414.8287,2.1088255737039816,308662.28113333334,0.9344036227038172,2.8171261958312037,11.109861564755839,9.16076087073917
2021-05-13,Zürich (ZH),B.1.1.7 (Alpha),1641218142280.795,3.351323069072403,188439.78600000008,0.9295002985931756,2.6937048976100995,3.0004364904458596,8.948464341855491
2021-05-14,Zürich (ZH),B.1.1.7 (Alpha),1080840972865.662,2.2070480413587976,156909.18808333334,0.9270483697118383,2.58634339624599,9.004243734607218,8.773944282099514
2021-05-15,Zürich (ZH),B.1.1.7 (Alpha),965976351861.5546,1.9724975911326244,216000.42231666655,0.927057514943195,2.4895560629741316,7.1838940254777075,8.576165050512124
2021-05-16,Zürich (ZH),B.1.1.7 (Alpha),1125331683552.3296,2.2978968695812587,282995.32768333325,0.9282835830706644,2.384461376736396,4.798838299363057,8.276277123715547
2021-05-17,Zürich (ZH),B.1.1.7 (Alpha),1284687015243.1047,2.6232961480298935,349990.2330499999,0.9291657815613624,2.2834555986844047,14.305032445859874,7.93363019367306
2021-05-18,Zürich (ZH),B.1.1.7 (Alpha),1167456040689.2656,2.3839136678398205,220339.72233333325,0.9289296907284572,2.1832806206989552,10.346377492569003,7.607573952347932
2021-05-19,Zürich (ZH),B.1.1.7 (Alpha),1151520444579.5542,2.3513736114718844,240675.36193333328,0.9274065158170256,2.077744376519798,7.5251477643312095,7.361812425530287
2021-05-20,Zürich (ZH),B.1.1.7 (Alpha),1218271134777.8887,2.487676715961885,249952.49470000036,0.924783067432851,1.974842190086988,7.58985383014862,7.171007262038169
2021-05-21,Zürich (ZH),B.1.1.7 (Alpha),781800713330.943,1.5964159172419048,312839.1914666664,0.9218014807012104,1.874586774612269,6.925133159235669,6.960944588376763
2021-05-22,Zürich (ZH),B.1.1.7 (Alpha),821121736317.4713,1.6767083829656555,391447.0084166673,0.9196064689569567,1.7728757573516436,4.869358583864119,6.65741053105124
2021-05-23,Zürich (ZH),B.1.1.7 (Alpha),1055769827983.385,2.1558534414165456,387509.07596666674,0.918078463265242,1.6715318333115556,3.1781302059447984,6.260828322565949
2021-05-24,Zürich (ZH),B.1.1.7 (Alpha),559025039177.702,1.141514014329489,264845.9069333328,0.9151311257097858,1.568564752627227,4.58996968789809,5.852544722370831
2021-05-25,Zürich (ZH),B.1.1.7 (Alpha),489722449448.91565,1,227572.05058333292,0.9076570448376852,1.4639588828550218,6.639095794055201,5.479731147389453
2021-07-01,Zürich (ZH),B.1.617.2 (Delta),373572622349.86163,8.878820225830854,333925.0704833324,0.916827396004998,5.23954169730588,1.40111508492569,1.5991741269311779
2021-07-02,Zürich (ZH),B.1.617.2 (Delta),230918594205.64737,5.488316225789635,234236.9733666662,0.9447440836143072,6.95118110830613,1.7322511210191083,1.831999426698015
2021-07-03,Zürich (ZH),B.1.617.2 (Delta),327858207928.4982,7.792311089204971,208793.56425000017,0.9599900476785272,8.891250203332202,2.1440640212314226,2.099096699171614
2021-07-04,Zürich (ZH),B.1.617.2 (Delta),289824283407.62787,6.888346617238486,235170.7626166669,0.9694288574325536,10.692180036454703,0.5552099171974522,2.4024102926515094
2021-07-05,Zürich (ZH),B.1.617.2 (Delta),354743409984.8396,8.431300301775895,222992.64374999976,0.9742409805643631,12.55751069713912,1.3998108747346072,2.7486058873931856
2021-07-06,Zürich (ZH),B.1.617.2 (Delta),500686600275.3637,11.8999788725525,254276.96056666668,0.9784688184837136,14.11535253866153,4.1175377430997875,3.1443491636521226
2021-07-07,Zürich (ZH),B.1.617.2 (Delta),42074578924.69084,1,336891.1534499996,0.9821406828975818,15.006531698594511,2.3371811295116776,3.6323183837189514
2021-07-08,Zürich (ZH),B.1.617.2 (Delta),665970496608.2156,15.8283342015195,408567.15408333327,0.98350895929801,15.904166188356305,5.442972012738854,4.233638344718833
2021-07-09,Zürich (ZH),B.1.617.2 (Delta),2333004465494.2676,55.449264737030525,448647.1253000007,0.9839901550833318,16.872882624897617,5.603173556263269,4.922644529159048
2021-07-10,Zürich (ZH),B.1.617.2 (Delta),1167655590074.2412,27.752044581699185,347789.06106666685,0.9841663994142532,17.584326210955748,3.6945047070063692,5.673672419546881
2021-07-11,Zürich (ZH),B.1.617.2 (Delta),999600595523.078,23.757827673385872,286089.8865999996,0.984513962538078,18.94166427993656,2.8410117664543524,6.373421344218278
2021-07-12,Zürich (ZH),B.1.617.2 (Delta),1276555077024.487,30.340293584622415,248422.1905333336,0.9851184569700796,21.06064694658691,6.82723760509554,6.964687000326986
2021-07-13,Zürich (ZH),B.1.617.2 (Delta),58387600607.80145,1.387716813810763,467509.51806666615,0.9857702393373636,22.843794273016385,9.523959411889598,7.505949423606969
2021-07-14,Zürich (ZH),B.1.617.2 (Delta),541253836836.5679,12.864153383575305,493753.3213666667,0.98618737332064,25.09601674724778,6.0605074840764335,8.055688649792206
