;sars_cov2_rna [gc/(d*100000 capita)];median_7d_sars_cov2_rna [gc/(d*100000 capita)];new_cases [1/(d*100000 capita)];median_7d_new_cases [1/(d*100000 capita)];quantification_flag [{Q: >LOQ,D: >LOD,N: <LOD}];flow [m^3/d]
2020-12-04;2053626000000.0;6006535833333.334;45.94724592083333;45.13402437916667;D;198738
2020-12-05;1313246666666.6665;4030080916666.6665;34.983610787500005;45.13402437916667;D;140705
2020-12-06;40020666666.66667;1683436333333.3333;21.862404774999998;45.13402437916667;N;120062
2020-12-07;176982300000.0;1313246666666.6665;49.331657158333336;45.94724592083333;D;107262
2020-12-08;1132800900000.0;1223023783333.3335;32.846927825;45.13402437916667;Q;109098
2020-12-09;2373556033333.333;1313246666666.6665;37.7179069;37.7179069;Q;98761
2020-12-10;3587892000000.001;1313246666666.6665;34.6965933125;34.983610787500005;Q;93192
2020-12-11;1784977833333.3333;1313246666666.6665;29.873132525;34.6965933125;Q;220822
2020-12-12;7429423200000.0;1784977833333.3333;31.78873335833333;32.846927825;Q;269182
2020-12-13;7249221650000.0;2373556033333.333;19.791142075;32.846927825;Q;146597
2020-12-14;2895035500000.0;2895035500000.0;30.674300762499996;31.78873335833333;D;123193
2020-12-15;6066191833333.334;3587892000000.001;45.824725925;31.78873335833333;D;190561
2020-12-16;2910512000000.0;3587892000000.001;35.491363;31.78873335833333;D;126544
2020-12-17;1522626000000.0;2910512000000.0;29.828797379166673;30.674300762499996;D;108759
2020-12-18;5151113333333.334;5151113333333.334;39.02346764583333;31.78873335833333;Q;102680
2020-12-19;2004460000000.0;2910512000000.0;24.429815225;30.674300762499996;D;100223
2020-12-20;4627567333333.334;2910512000000.0;22.386012466666667;30.674300762499996;Q;95087
2020-12-21;41228666666.66667;2910512000000.0;33.4995266125;33.4995266125;N;123686
2020-12-22;31448333333.333332;2004460000000.0;47.46725971666667;33.4995266125;N;94345
2020-12-23;2838802750000.0005;2004460000000.0;37.032915087499994;33.4995266125;Q;185745
2020-12-24;1573847100000.0;2004460000000.0;29.47095088333333;33.4995266125;Q;120141
2020-12-25;1717359933333.3333;1717359933333.3333;14.325587474999999;29.47095088333333;Q;93166
